provider_name,eik,municipality,settlement,address,social_service,target_group,license_number,license_validity,license_modified_number,license_modified_validity,license_renewed_number,license_renewed_validity,violations
"""НОВ ЖИВОТ МЕЖДЕН"" ЕООД",204878243,Дулово,с. Межден,"ул. ""Елин Пелин"" № 15",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1/04.01.2021 г.; Л-3129-2184/06.01.2026 г.,03.01.2026 г.,,,,,
"""БИСЕРА 80"" ЕООД",203749722,Стара Загора,гр. Стара Загора,"бул. ""Свещеник Георги Клисаров"" № 5, ет.1, ап.1",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-2/15.01.2021 г.,14.01.2026 г.,,,,,"АКД-41/11.07.2025; С-АНП-26/ 04.08.2025- чл. 9, ал. 1 от ЗСУ - нарушени права на потребителите;"
"ФОНДАЦИЯ ""ФОНДАЦИЯ ЗА РЕГИОНАЛНО РАЗВИТИЕ РОМА - ПЛОВДИВ""",115063954,Пловдив,гр. Пловдив,"район Източен, ул. ""Малина"" № 12",Обучение за придобиване на умения; Терапия и рехабилитация; Общностна работа; Информиране и консултиране; Застъпничество и посредничество,Деца и пълнолетни лица,Л-3129-4/27.01.2021 г.; Л-3129-5/27.01.2021 г.; Л-3129-6/27.01.2021 г.; Л-3129-7/27.01.2021 г.; Л-3129-8/27.01.2021 г.; Л-3129-2179/05.01.2026 г.; Л-3129-2180/05.01.2026 г.; Л-3129-2181/05.01.2026 г.; Л-3129-2182/05.01.2026 г.; Л-3129-2183/05.01.2026 г.,26.01.2026 г.,,,,,
"""СЕНИОМЕД ВАРНА"" ЕООД",206101360,Варна,гр. Варна,"район Одесос, ул. ""Поп Харитон"" № 15",Асистентска подкрепа,Лица в надтрудоспособна възраст в невъзможност за самообслужване,Л-3129-9/27.01.2021 г.,26.01.2026 г.,,,Л-3130-2/24.11.2025 г.,27.01.2031 г.,
"СДРУЖЕНИЕ ""ЖЕНСКО СДРУЖЕНИЕ ""ЕКАТЕРИНА КАРАВЕЛОВА"" - СИЛИСТРА""",118541320,Силистра,гр. Силистра,"бул. ""Н. Й. Вапцаров"" № 51, ет.2",Информиране и консултиране; Застъпничество и посредничество; Терапия и рехабилитация; Осигуряване на подслон; Обучение за придобиване на умения; Общностна работа,"Всички деца; възрастни хора в надтрудоспособна възраст; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; пълнолетни лица и деца, пострадали от домашно насилие и жертви на трафик; семейства в конфликт след развод/раздяла или домашно насилие",Л-3129-700/01.11.2021 г.; Л-3129-701/01.11.2021 г.; Л-3129-702/01.11.2021 г.; Л-3129-703/01.11.2021 г.; Л-3129-1605/16.05.2023 г.; Л-3129-1791/08.12.2023 г.,31.10.2026 г.,,,,,
"""РЕГИОНАЛЕН ХОСПИС"" ЕООД",107592160,Дряново,гр. Дряново,"ул. ""Шипка"" № 164",Резидентна грижа,Лица в надтрудоспособна възраст в невъзможност за самообслужване,Л-3129-13/28.01.2021 г.; Л-3129-14/28.01.2021 г.,27.01.2026 г.,,,,,
"""ГЕМОВА"" ЕООД",203830081,Ихтиман,с. Вакарел,"ул. ""Средна гора"" № 11",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-15/29.01.2021 г.,28.01.2026 г.,,,Л-3130-1/18.09.2025 г.,29.01.2031 г.,
"""AЙСБЕРГ-МГ"" ЕООД",205422751,Благоевград,гр. Благоевград,"ул. ""Мизия"" № 14",Информиране и консултиране,"Деца и пълнолетни лица,преживели травматично събитие",Л-3129-16/08.02.2021 г.,07.02.2026 г.,,,,,
"""ГОЛД М.Х"" ЕООД",205331903,Кирково,с. Дрангово,Къща № 315,Информиране и консултиране; Терапия и рехабилитация,Деца и пълнолетни лица,Л-3129-18/15.02.2021 г.; Л-3129-70/02.04.2021 г.,14.02.2026 г.,,,,,
"СДРУЖЕНИЕ ""АЛФА КЛУБ""",177159888,Горна Оряховица,гр. Горна Оряховица,"ул. ""Люлин"" № 6",Асистентска подкрепа,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат определена по съответния ред степен на намалена работоспособност; деца с трайни увреждания и пълнолетни лица с трайни увреждания с определена чужда помощ, които не ползват асистентска подкрепа, помощ за осигуряване на асистентска подкрепа или за които не се получава помощ за грижа в домашна среда по реда на друг закон",Л-3129-19/22.02.2021 г.,21.02.2026 г.,ЛПО-1-3129-19/21.10.2022 г.,21.02.2026 г.,,,
